COD_ESC;IDESP_AI;IDESP_AF;IDESP_EM;ANO_APLICACAO;DTCADASTRO
30636;0.00;4.80;2.80;2019;2023-03-20 11:15:36.7230000
30659;6.40;6.07;5.15;2019;2023-03-20 11:15:36.7230000
30661;0.00;0.00;3.61;2019;2023-03-20 11:15:36.7230000
30673;0.00;0.00;3.61;2019;2023-03-20 11:15:36.7230000
30697;0.00;3.52;4.33;2019;2023-03-20 11:15:36.7230000
30703;0.00;3.92;0.00;2019;2023-03-20 11:15:36.7230000
30727;0.00;4.64;2.35;2019;2023-03-20 11:15:36.7230000
3074;5.30;0.00;0.00;2019;2023-03-20 11:15:36.7230000
30740;0.00;3.48;2.91;2019;2023-03-20 11:15:36.7230000
30752;0.00;4.35;3.44;2019;2023-03-20 11:15:36.7230000
30764;0.00;0.00;4.20;2019;2023-03-20 11:15:36.7230000
30776;5.42;4.29;0.00;2019;2023-03-20 11:15:36.7230000
30788;0.00;2.84;2.37;2019;2023-03-20 11:15:36.7230000
30806;0.00;2.78;2.35;2019;2023-03-20 11:15:36.7230000
30831;0.00;2.92;3.26;2019;2023-03-20 11:15:36.7230000
3086;0.00;3.16;2.44;2019;2023-03-20 11:15:36.7230000
30892;0.00;3.15;3.19;2019;2023-03-20 11:15:36.7230000
309;4.93;3.21;2.34;2019;2023-03-20 11:15:36.7230000
30910;0.00;3.45;1.84;2019;2023-03-20 11:15:36.7230000
30958;0.00;3.24;2.76;2019;2023-03-20 11:15:36.7230000
3098;5.50;0.00;0.00;2019;2023-03-20 11:15:36.7230000
30995;0.00;0.00;2.21;2019;2023-03-20 11:15:36.7230000
310;4.98;0.00;0.00;2019;2023-03-20 11:15:36.7230000
3104;0.00;2.92;1.90;2019;2023-03-20 11:15:36.7230000
31045;0.00;3.24;2.85;2019;2023-03-20 11:15:36.7230000
31069;0.00;3.06;2.10;2019;2023-03-20 11:15:36.7230000
31112;0.00;3.85;2.30;2019;2023-03-20 11:15:36.7230000
31159;0.00;3.18;2.74;2019;2023-03-20 11:15:36.7230000
3116;0.00;2.87;1.82;2019;2023-03-20 11:15:36.7230000
31252;0.00;3.53;2.72;2019;2023-03-20 11:15:36.7230000
31264;0.00;5.78;5.20;2019;2023-03-20 11:15:36.7230000
31276;0.00;2.98;2.87;2019;2023-03-20 11:15:36.7230000
3128;5.17;2.67;1.58;2019;2023-03-20 11:15:36.7230000
31297;0.00;2.63;2.62;2019;2023-03-20 11:15:36.7230000
31306;0.00;5.93;0.00;2019;2023-03-20 11:15:36.7230000
31355;0.00;3.01;1.66;2019;2023-03-20 11:15:36.7230000
3136;6.24;0.00;0.00;2019;2023-03-20 11:15:36.7230000
3141;0.00;3.59;1.80;2019;2023-03-20 11:15:36.7230000
31422;0.00;4.69;3.73;2019;2023-03-20 11:15:36.7230000
31446;0.00;0.00;3.17;2019;2023-03-20 11:15:36.7230000
31458;0.00;3.38;2.33;2019;2023-03-20 11:15:36.7230000
31461;0.00;3.75;3.04;2019;2023-03-20 11:15:36.7230000
31471;0.00;3.75;3.30;2019;2023-03-20 11:15:36.7230000
31513;0.00;0.00;2.79;2019;2023-03-20 11:15:36.7230000
31525;0.00;3.96;3.31;2019;2023-03-20 11:15:36.7230000
3153;0.00;3.75;2.12;2019;2023-03-20 11:15:36.7230000
31549;0.00;3.78;2.67;2019;2023-03-20 11:15:36.7230000
31550;0.00;3.26;1.92;2019;2023-03-20 11:15:36.7230000
31574;0.00;3.04;2.21;2019;2023-03-20 11:15:36.7230000
31586;0.00;2.34;2.28;2019;2023-03-20 11:15:36.7230000
31598;0.00;3.49;2.58;2019;2023-03-20 11:15:36.7230000
31604;0.00;3.35;2.10;2019;2023-03-20 11:15:36.7230000
31616;0.00;3.85;2.30;2019;2023-03-20 11:15:36.7230000
31636;0.00;0.00;3.27;2019;2023-03-20 11:15:36.7230000
3165;6.41;0.00;0.00;2019;2023-03-20 11:15:36.7230000
31665;0.00;5.04;0.00;2019;2023-03-20 11:15:36.7230000
31689;0.00;3.76;0.00;2019;2023-03-20 11:15:36.7230000
31690;5.81;0.00;0.00;2019;2023-03-20 11:15:36.7230000
31732;0.00;3.00;2.44;2019;2023-03-20 11:15:36.7230000
31744;0.00;5.38;2.98;2019;2023-03-20 11:15:36.7230000
31756;0.00;3.53;0.00;2019;2023-03-20 11:15:36.7230000
3177;6.02;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7067;0.00;2.97;2.35;2019;2023-03-20 11:15:36.7230000
7079;0.00;2.38;1.55;2019;2023-03-20 11:15:36.7230000
7080;0.00;3.01;1.90;2019;2023-03-20 11:15:36.7230000
7109;0.00;2.85;1.90;2019;2023-03-20 11:15:36.7230000
711;0.00;3.54;2.87;2019;2023-03-20 11:15:36.7230000
71161;6.13;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7122;0.00;3.25;2.42;2019;2023-03-20 11:15:36.7230000
7134;0.00;2.99;3.13;2019;2023-03-20 11:15:36.7230000
7146;5.45;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7158;6.81;3.31;2.95;2019;2023-03-20 11:15:36.7230000
7161;0.00;4.47;2.65;2019;2023-03-20 11:15:36.7230000
7171;0.00;3.48;1.57;2019;2023-03-20 11:15:36.7230000
7183;0.00;3.88;2.14;2019;2023-03-20 11:15:36.7230000
7195;0.00;3.89;1.96;2019;2023-03-20 11:15:36.7230000
7213;0.00;3.74;2.29;2019;2023-03-20 11:15:36.7230000
723;0.00;4.20;2.83;2019;2023-03-20 11:15:36.7230000
7237;0.00;3.22;2.20;2019;2023-03-20 11:15:36.7230000
72503;0.00;2.87;1.86;2019;2023-03-20 11:15:36.7230000
7262;0.00;3.89;0.00;2019;2023-03-20 11:15:36.7230000
7274;0.00;3.60;3.19;2019;2023-03-20 11:15:36.7230000
7286;0.00;3.02;2.36;2019;2023-03-20 11:15:36.7230000
7298;0.00;4.70;3.56;2019;2023-03-20 11:15:36.7230000
73;4.69;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7316;0.00;3.24;2.43;2019;2023-03-20 11:15:36.7230000
7328;0.00;0.00;2.13;2019;2023-03-20 11:15:36.7230000
7336;5.23;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7341;0.00;2.75;1.68;2019;2023-03-20 11:15:36.7230000
735;0.00;3.58;2.22;2019;2023-03-20 11:15:36.7230000
7365;5.82;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7377;0.00;3.58;2.23;2019;2023-03-20 11:15:36.7230000
7389;0.00;4.81;2.54;2019;2023-03-20 11:15:36.7230000
7390;0.00;4.40;2.37;2019;2023-03-20 11:15:36.7230000
7407;4.98;3.37;2.09;2019;2023-03-20 11:15:36.7230000
7419;6.16;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7420;7.47;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7432;5.84;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7444;0.00;3.03;1.58;2019;2023-03-20 11:15:36.7230000
7456;0.00;3.16;1.66;2019;2023-03-20 11:15:36.7230000
747;0.00;2.86;1.77;2019;2023-03-20 11:15:36.7230000
7473;4.87;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7493;0.00;0.00;2.76;2019;2023-03-20 11:15:36.7230000
7500;0.00;3.08;2.90;2019;2023-03-20 11:15:36.7230000
7511;6.19;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7523;0.00;3.13;2.07;2019;2023-03-20 11:15:36.7230000
7535;0.00;3.60;2.08;2019;2023-03-20 11:15:36.7230000
7547;0.00;4.33;2.37;2019;2023-03-20 11:15:36.7230000
7559;6.57;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7560;0.00;5.71;3.99;2019;2023-03-20 11:15:36.7230000
7572;7.36;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7584;0.00;2.46;2.98;2019;2023-03-20 11:15:36.7230000
759;5.44;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7596;0.00;4.20;3.19;2019;2023-03-20 11:15:36.7230000
760;0.00;3.47;2.69;2019;2023-03-20 11:15:36.7230000
7602;6.80;2.89;2.18;2019;2023-03-20 11:15:36.7230000
7614;4.55;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7626;6.91;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7638;0.00;4.25;3.67;2019;2023-03-20 11:15:36.7230000
7648;7.01;3.01;2.37;2019;2023-03-20 11:15:36.7230000
7651;6.63;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7663;6.93;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7675;4.29;3.96;0.00;2019;2023-03-20 11:15:36.7230000
7687;5.44;5.55;0.00;2019;2023-03-20 11:15:36.7230000
7699;5.47;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7705;5.45;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7717;6.98;0.00;0.00;2019;2023-03-20 11:15:36.7230000
772;6.46;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7729;0.00;4.10;2.59;2019;2023-03-20 11:15:36.7230000
7730;6.69;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7742;0.00;3.73;1.99;2019;2023-03-20 11:15:36.7230000
7754;5.99;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7766;0.00;3.44;2.68;2019;2023-03-20 11:15:36.7230000
7778;7.42;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7785;5.83;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7791;0.00;3.61;2.60;2019;2023-03-20 11:15:36.7230000
7808;6.93;2.70;1.94;2019;2023-03-20 11:15:36.7230000
7812;6.06;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7821;0.00;3.37;2.17;2019;2023-03-20 11:15:36.7230000
7833;0.00;3.91;3.08;2019;2023-03-20 11:15:36.7230000
784;3.56;2.32;0.00;2019;2023-03-20 11:15:36.7230000
7845;0.00;3.43;2.35;2019;2023-03-20 11:15:36.7230000
7857;5.57;2.59;2.97;2019;2023-03-20 11:15:36.7230000
7869;5.43;1.93;0.00;2019;2023-03-20 11:15:36.7230000
7870;0.00;3.25;2.61;2019;2023-03-20 11:15:36.7230000
7882;0.00;2.75;2.60;2019;2023-03-20 11:15:36.7230000
7894;5.73;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7900;6.65;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7912;5.58;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7924;5.48;3.02;2.70;2019;2023-03-20 11:15:36.7230000
7936;4.68;2.76;2.27;2019;2023-03-20 11:15:36.7230000
7948;0.00;3.78;2.61;2019;2023-03-20 11:15:36.7230000
7959;0.00;3.86;2.80;2019;2023-03-20 11:15:36.7230000
796;0.00;2.62;1.26;2019;2023-03-20 11:15:36.7230000
7961;0.00;3.46;2.92;2019;2023-03-20 11:15:36.7230000
7973;5.94;0.00;0.00;2019;2023-03-20 11:15:36.7230000
7985;0.00;3.04;2.22;2019;2023-03-20 11:15:36.7230000
79873;0.00;2.22;0.00;2019;2023-03-20 11:15:36.7230000
79881;5.33;0.00;0.00;2019;2023-03-20 11:15:36.7230000
79893;0.00;2.87;1.52;2019;2023-03-20 11:15:36.7230000
79900;0.00;2.61;1.45;2019;2023-03-20 11:15:36.7230000
7997;0.00;3.40;2.50;2019;2023-03-20 11:15:36.7230000
802;0.00;2.94;1.81;2019;2023-03-20 11:15:36.7230000
8023;6.73;0.00;0.00;2019;2023-03-20 11:15:36.7230000
8035;0.00;2.46;1.73;2019;2023-03-20 11:15:36.7230000
10005;0.00;4.09;3.33;2019;2023-03-20 11:15:36.7230000
10017;0.00;3.89;2.63;2019;2023-03-20 11:15:36.7230000
10029;0.00;4.70;2.88;2019;2023-03-20 11:15:36.7230000
10030;0.00;3.87;3.51;2019;2023-03-20 11:15:36.7230000
1004;0.00;3.88;1.95;2019;2023-03-20 11:15:36.7230000
10042;4.66;0.00;0.00;2019;2023-03-20 11:15:36.7230000
10054;0.00;2.91;1.74;2019;2023-03-20 11:15:36.7230000
10066;0.00;2.77;2.23;2019;2023-03-20 11:15:36.7230000
10078;5.29;0.00;0.00;2019;2023-03-20 11:15:36.7230000
